Лабораторная работа 5. Бинарная куча (Min-Heap)

Таблица 1. Добавление элементов в структуру данных
Кол-во элементов	minheap_insert, с	build_minheap, с
50000	0.0015799999	0.0010008812
100000	0.0029830933	0.0020740032
150000	0.0045568943	0.0029149055
200000	0.0060269833	0.0039191246
250000	0.0071589947	0.0045840740
300000	0.0086829662	0.0059289932
350000	0.0115098953	0.0068399906
400000	0.0126581192	0.0081381798

Таблица 2. Извлечение и уменьшение приоритета элемента
Кол-во элементов	minheap_extractmin, с	minheap_decreasekey, с
50000	0.0000011921	0.0000069141
100000	0.0000009537	0.0000560284
150000	0.0000009537	0.0001060963
200000	0.0000009537	0.0000481606
250000	0.0000009537	0.0002460480
300000	0.0000009537	0.0000319481
350000	0.0000009537	0.0001559258
400000	0.0000009537	0.0001401901
