Эксперимент №1
Количество элементов	Время bstree_lookup, с	Время hashtab_lookup, с
20000	0.0000009367	0.0000001200
40000	0.0000010976	0.0000002191
60000	0.0000014165	0.0000002446
80000	0.0000013162	0.0000003964
100000	0.0000013600	0.0000005143
120000	0.0000015558	0.0000005576
140000	0.0000014580	0.0000006288
160000	0.0000016353	0.0000008339
180000	0.0000014980	0.0000008919
200000	0.0000015513	0.0000011106
220000	0.0000017631	0.0000011276
240000	0.0000016413	0.0000014913
260000	0.0000020244	0.0000013949
280000	0.0000018246	0.0000015952
300000	0.0000018237	0.0000016700
320000	0.0000018549	0.0000018923
340000	0.0000019013	0.0000018873
360000	0.0000019569	0.0000018860
380000	0.0000020455	0.0000022406
400000	0.0000018829	0.0000021704
