
Эксперимент №6
Количество элементов	Время KP, с	Коллизии KP	Время XOR, с	Коллизии XOR
20000	0.0000002359	7436	0.0000001593	8029
40000	0.0000002200	22774	0.0000002617	23244
60000	0.0000004706	41048	0.0000003772	41236
80000	0.0000004689	60399	0.0000004408	60491
100000	0.0000005447	80162	0.0000005853	80181
120000	0.0000002500	100060	0.0000006977	100067
140000	0.0000007328	120020	0.0000008721	120029
160000	0.0000008865	140005	0.0000010113	140011
180000	0.0000004873	160001	0.0000010110	160002
200000	0.0000011622	180000	0.0000010672	180000
220000	0.0000012998	200000	0.0000007700	200000
240000	0.0000013447	220000	0.0000013700	220000
260000	0.0000014814	240000	0.0000010763	240000
280000	0.0000016481	260000	0.0000016150	260000
300000	0.0000012415	280000	0.0000016771	280000
320000	0.0000019385	300000	0.0000015698	300000
340000	0.0000020064	320000	0.0000020426	320000
360000	0.0000015786	340000	0.0000021358	340000
380000	0.0000018783	360000	0.0000022997	360000
400000	0.0000023748	380000	0.0000018045	380000
