Символ		Количество
'\n'		15
пробел		50
','		6
'.'		3
':'		1
'В'		2
'Д'		2
'И'		2
'К'		1
'Л'		1
'Н'		3
'О'		1
'П'		1
'Р'		1
'Т'		1
'Х'		1
'а'		28
'б'		9
'в'		17
'г'		3
'д'		22
'е'		31
'ж'		5
'з'		4
'и'		15
'й'		4
'к'		8
'л'		6
'м'		11
'н'		16
'о'		32
'п'		7
'р'		24
'с'		19
'т'		23
'у'		12
'х'		4
'ц'		1
'ч'		4
'ш'		2
'ы'		9
'ь'		9
'ю'		2
'я'		4
'—'		1
Средняя длина слова: 5,34
Количество слов между первой и последней запятой: 53
В бине рских удните гор терп Н проп аш скор трИ ум окое стрем астью вер сес ежда в чном подзеРазб бодр и елье При жела по Люб и ество д асДой скв чные воры ак в ва ржные ноодит ой одный гл овы тяж дут ницы рух и бодаас при радо у ода И бра еч ам адут 
